[01 12 01:29:10] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_29_10.png||spendTime=0.2995107173919678Second
[01 12 01:29:11] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:29:11] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:29:16] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:29:16] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_29_16.png||spendTime=0.29411959648132324Second
[01 12 01:29:16] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:29:16] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:29:21] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:29:21] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_29_21.png||spendTime=0.2716789245605469Second
[01 12 01:29:21] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:29:21] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:29:26] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:29:27] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_29_26.png||spendTime=0.26578259468078613Second
[01 12 01:29:27] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:29:27] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:29:32] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:29:32] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_29_32.png||spendTime=0.24623966217041016Second
[01 12 01:29:32] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/startOperation.png
[01 12 01:29:32] [INFO]  __main__/30 || Can't find button:startOperation
[01 12 01:31:53] [INFO]  server.windowManipulator/43 || getGameWindow success...
[01 12 01:31:53] [INFO]  __main__/25 || current Operate:startOperation
[01 12 01:31:53] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_31_53.png||spendTime=0.2814161777496338Second
[01 12 01:32:03] [INFO]  __main__/25 || current Operate:startOperationInOperatorView
[01 12 01:32:03] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_3.png||spendTime=0.29172635078430176Second
[01 12 01:32:13] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:14] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_13.png||spendTime=0.45339298248291016Second
[01 12 01:32:14] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:14] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:19] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:19] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_19.png||spendTime=0.411881685256958Second
[01 12 01:32:20] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:20] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:25] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:25] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_25.png||spendTime=0.44510436058044434Second
[01 12 01:32:25] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:25] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:30] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:31] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_30.png||spendTime=0.4353675842285156Second
[01 12 01:32:31] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:31] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:36] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:36] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_36.png||spendTime=0.46862030029296875Second
[01 12 01:32:36] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:36] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:41] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:42] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_41.png||spendTime=0.443622350692749Second
[01 12 01:32:42] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:42] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:47] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:47] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_47.png||spendTime=0.4114646911621094Second
[01 12 01:32:47] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:47] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:52] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:53] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_52.png||spendTime=0.4348609447479248Second
[01 12 01:32:53] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:53] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:32:58] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:32:58] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_32_58.png||spendTime=0.40512561798095703Second
[01 12 01:32:58] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:32:58] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:03] [INFO]  __main__/25 || current Operate:operationEnd
[01 12 01:33:04] [INFO]  server.windowManipulator/69 || image save succeed||path=./images/ScreenShots/1_12_1_33_3.png||spendTime=0.5843288898468018Second
[01 12 01:33:04] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/operationEnd.png
[01 12 01:33:04] [INFO]  __main__/30 || Can't find button:operationEnd
[01 12 01:33:09] [INFO]  __main__/25 || current Operate:operationEnd
